id,which_concept,concept_id,term,level,score
W2089760375,11,C171250308,Nanotechnology,1,0.41757506
W2089760375,12,C42360764,Chemical engineering,1,0.40514487
W2089760375,13,C12554922,Biophysics,1,0.32221395
W2089760375,14,C521977710,Polymer,2,0.22976673
W2089760375,15,C178790620,Organic chemistry,1,0.2056303
W2089760375,16,C192562407,Materials science,0,0.06399667
W2089760375,17,C55493867,Biochemistry,1,0.06261402
W2089760375,18,C121332964,Physics,0,0
W2089760375,19,C62520636,Quantum mechanics,1,0
W2089760375,20,C127413603,Engineering,0,0
W2089760375,21,C86803240,Biology,0,0
W61168097,1,C71924100,Medicine,0,0.901329
W61168097,2,C2779483572,Dementia,3,0.89646256
W61168097,3,C2778548049,Dementia with Lewy bodies,4,0.52633137
W61168097,4,C2779134260,Disease,2,0.5240362
W61168097,5,C27415008,Psychological intervention,2,0.49784923
W61168097,6,C2777952318,Vascular dementia,4,0.45276725
W61168097,7,C74909509,Gerontology,1,0.44149193
W61168097,8,C2778641062,Frontotemporal dementia,4,0.4152779
W61168097,9,C118552586,Psychiatry,1,0.3965893
W61168097,10,C142724271,Pathology,1,0.08236182
W2045691261,1,C502942594,Cancer research,1,0.6684458
W2045691261,2,C2778227246,Glioma,2,0.6605364
W2045691261,3,C86803240,Biology,0,0.52855766
W2045691261,4,C2777730290,NF-κB,3,0.50736064
W2045691261,5,C2779679481,Plasminogen activator,2,0.503154
W2045691261,6,C88045685,Activator (genetics),3,0.47394896
W2045691261,7,C2778250585,Curcumin,2,0.4638014
W2045691261,8,C81885089,Cell culture,2,0.4283497
W2045691261,9,C202751555,In vitro,2,0.41697633
W2045691261,10,C86339819,Transcription factor,3,0.4108438
W2045691261,11,C142724271,Pathology,1,0.35245773
W2045691261,12,C71924100,Medicine,0,0.23927295
W2045691261,13,C62478195,Signal transduction,2,0.21055955
W2045691261,14,C95444343,Cell biology,1,0.18017569
W2045691261,15,C134018914,Endocrinology,1,0.11031717
W2045691261,16,C104317684,Gene,2,0.08636558
W2045691261,17,C98274493,Pharmacology,1,0.08546537
W2045691261,18,C55493867,Biochemistry,1,0
W2045691261,19,C54355233,Genetics,1,0
W2044894183,1,C2780789225,Medulloblastoma,2,0.84858274
W2044894183,2,C86803240,Biology,0,0.6977515
W2044894183,3,C124942203,Comparative genomic hybridization,4,0.5557204
W2044894183,4,C2777609662,PTEN,4,0.53714
W2044894183,5,C502942594,Cancer research,1,0.51409227
W2044894183,6,C2776891213,Primitive neuroectodermal tumor,3,0.43789017
W2044894183,7,C2910535243,Chromosomal region,4,0.42927027
W2044894183,8,C104317684,Gene,2,0.39321777
W2044894183,9,C142724271,Pathology,1,0.36567056
