id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2090006502,The Production of Bacteria-Free Amoebic Abscesses in the Liver of Cats and Observations on the Amoebae in Various Media with and Without Bacteria,1930-08-08,30,journal-article,17838540,2,A5049422866,Elizabeth P. Sanders,"Department of Tropical Medicine, Harvard University Medical School",Harvard University,I136199984,1
W2031817609,Aureomycin and Blood Coagulation,1949-09-23,22,journal-article,17838574,1,A5077316114,David I. Macht,,,,1
W2031817609,Aureomycin and Blood Coagulation,1949-09-23,22,journal-article,17838574,2,A5064046870,Robert Farkaš,,,,1
W2085579346,"Thyroid Destruction by I <sup>131</sup> , and Replacement Therapy",1949-09-23,20,journal-article,17838572,1,A5075557061,C. F. Winchester,"Department of Animal Industry, University of Florida, Gainesville",University of Florida,I33213144,1
W2085579346,"Thyroid Destruction by I <sup>131</sup> , and Replacement Therapy",1949-09-23,20,journal-article,17838572,2,A5054280488,C. L. Comar,"Department of Animal Industry, University of Florida, Gainesville",University of Florida,I33213144,1
W2085579346,"Thyroid Destruction by I <sup>131</sup> , and Replacement Therapy",1949-09-23,20,journal-article,17838572,3,A5046954215,George K. Davis,"Department of Animal Industry, University of Florida, Gainesville",University of Florida,I33213144,1
W2004722675,The Enzymatic Hydrolysis of Chloramphenicol (Chloromycetin),1949-09-23,14,journal-article,17838567,1,A5010207460,G. N. Smith,"Research Laboratories, Parke, Davis and Company, Detroit, Michigan",DMC University Laboratories,I4210116821,1
W2004722675,The Enzymatic Hydrolysis of Chloramphenicol (Chloromycetin),1949-09-23,14,journal-article,17838567,2,A5013268342,Cecilia S. Worrel,"Research Laboratories, Parke, Davis and Company, Detroit, Michigan",DMC University Laboratories,I4210116821,1
W2004722675,The Enzymatic Hydrolysis of Chloramphenicol (Chloromycetin),1949-09-23,14,journal-article,17838567,3,A5048187562,Betty L. Lilligren,"Research Laboratories, Parke, Davis and Company, Detroit, Michigan",DMC University Laboratories,I4210116821,1
W2089507806,"Near Infrared Absorption Spectra of Uracil, 5-Chlorouracil, and Thymine",1949-09-23,14,journal-article,17838570,1,A5023970374,J. R. Lacher,"University of Colorado, Boulder",University of Colorado System,I2802236040,1
W2089507806,"Near Infrared Absorption Spectra of Uracil, 5-Chlorouracil, and Thymine",1949-09-23,14,journal-article,17838570,1,A5023970374,J. R. Lacher,"University of Colorado, Boulder",University of Colorado Boulder,I188538660,2
W2089507806,"Near Infrared Absorption Spectra of Uracil, 5-Chlorouracil, and Thymine",1949-09-23,14,journal-article,17838570,2,A5051116220,D. E. Campion,"University of Colorado, Boulder",University of Colorado System,I2802236040,1
W2089507806,"Near Infrared Absorption Spectra of Uracil, 5-Chlorouracil, and Thymine",1949-09-23,14,journal-article,17838570,2,A5051116220,D. E. Campion,"University of Colorado, Boulder",University of Colorado Boulder,I188538660,2
W2089507806,"Near Infrared Absorption Spectra of Uracil, 5-Chlorouracil, and Thymine",1949-09-23,14,journal-article,17838570,3,A5005266043,J. D. Park,"University of Colorado, Boulder",University of Colorado System,I2802236040,1
W2089507806,"Near Infrared Absorption Spectra of Uracil, 5-Chlorouracil, and Thymine",1949-09-23,14,journal-article,17838570,3,A5005266043,J. D. Park,"University of Colorado, Boulder",University of Colorado Boulder,I188538660,2
W2084273139,Structure and Dynamics of the Thunderstorm,1949-09-23,12,journal-article,17838565,1,A5029034175,Horace R. Byers,University of Chicago,University of Chicago,I40347166,1
W2048387954,DUTCH ELM DISEASE IN OHIO,1930-08-08,10,journal-article,17838531,1,A5089972530,Curtis May,,,,1
W2072599249,Action of the Venom of Bothrops Atrox on Fibrinogen,1949-09-23,10,journal-article,17838576,1,A5072350046,B. Jánszky,"Instituto Pinheiros, São Paulo, Brasil",Instituto ABCD,I4210091991,1
W2074139732,"Revision of ""The New York Series.""",1908-09-11,10,journal-article,17838551,1,A5000373216,George Halcott Chadwick,"St. Lawrence University, Canton, N. Y.",St. Lawrence University,I100236772,1
W1970339426,Body Retention of Carbon 14 from Labeled Sodium Bicarbonate,1949-09-23,7,journal-article,17838575,1,A5087747037,Howard E. Skipper,"Southern Research Institute, Birmingham, Alabama",Southern Research Institute,I108109523,1
W1970339426,Body Retention of Carbon 14 from Labeled Sodium Bicarbonate,1949-09-23,7,journal-article,17838575,2,A5056153223,Locke White,"Southern Research Institute, Birmingham, Alabama",Southern Research Institute,I108109523,1
W1970339426,Body Retention of Carbon 14 from Labeled Sodium Bicarbonate,1949-09-23,7,journal-article,17838575,3,A5042919412,Carl E. Bryan,"Southern Research Institute, Birmingham, Alabama",Southern Research Institute,I108109523,1
W2041711651,A METHOD OF TITRATING PROTEOLYTIC ENZYMES,1930-08-08,4,journal-article,17838537,1,A5074045762,Frederick L. Gates,,,,1
W2146876637,SOME PSYCHOLOGICAL EXPERIMENTS,1926-01-01,4,journal-article,17838555,1,A5068834535,J. McKeen Cattell,,,,1
W2063088468,Absorption Spectrum of Beta Carotene in Liquid Solution at the Temperature of Liquid Nitrogen,1949-09-23,3,journal-article,17838568,1,A5016883321,Simon Freed,,,,1
W2063088468,Absorption Spectrum of Beta Carotene in Liquid Solution at the Temperature of Liquid Nitrogen,1949-09-23,3,journal-article,17838568,2,A5090048305,C. J. Hochanadel,,,,1
W2076190773,BLACK WALNUT CANKER,1930-08-08,3,journal-article,17838532,1,A5064457832,C. R. Orton,WEST VIRGINIA UNIVERSITY,West Virginia University,I12097938,1
